/home/ubuntu/anaconda3/bin/python3.5 /mnt/storage/insuranceQA-cnn-lstm/cnn/theano/insqa_cnn.py
Using gpu device 0: Tesla K80 (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5110)
/home/ubuntu/anaconda3/lib/python3.5/site-packages/theano/sandbox/cuda/__init__.py:600: UserWarning: Your cuDNN version is more recent than the one Theano officially supports. If you see any problems, try updating Theano or downgrading cuDNN to version 5.
  warnings.warn(warn)
cost Sum{acc_dtype=float32}.0
load data done ...... epoch:1 cost:11.357072830200195, acc:0.10546875
load data done ...... epoch:2 cost:12.815299987792969, acc:0.1875
load data done ...... epoch:3 cost:13.533145904541016, acc:0.19140625
load data done ...... epoch:4 cost:13.07297420501709, acc:0.171875
load data done ...... epoch:5 cost:12.551427841186523, acc:0.203125
load data done ...... epoch:6 cost:12.632680892944336, acc:0.18359375
load data done ...... epoch:7 cost:12.847646713256836, acc:0.203125
load data done ...... epoch:8 cost:13.083664894104004, acc:0.171875
load data done ...... epoch:9 cost:12.145801544189453, acc:0.15625
load data done ...... epoch:10 cost:13.43005084991455, acc:0.15234375
load data done ...... epoch:11 cost:12.579283714294434, acc:0.16015625
load data done ...... epoch:12 cost:10.156784057617188, acc:0.26171875
load data done ...... epoch:13 cost:13.223455429077148, acc:0.13671875
load data done ...... epoch:14 cost:12.43680191040039, acc:0.17578125
load data done ...... epoch:15 cost:13.527459144592285, acc:0.140625
load data done ...... epoch:16 cost:11.481440544128418, acc:0.19140625
load data done ...... epoch:17 cost:12.77247428894043, acc:0.140625
load data done ...... epoch:18 cost:11.3795747756958, acc:0.19921875
load data done ...... epoch:19 cost:11.62735652923584, acc:0.18359375
load data done ...... epoch:20 cost:11.613668441772461, acc:0.19140625
load data done ...... epoch:21 cost:11.434257507324219, acc:0.1953125
load data done ...... epoch:22 cost:12.978384017944336, acc:0.171875
load data done ...... epoch:23 cost:11.084598541259766, acc:0.14453125
load data done ...... epoch:24 cost:10.951379776000977, acc:0.21875
load data done ...... epoch:25 cost:11.541019439697266, acc:0.1875
load data done ...... epoch:26 cost:10.802053451538086, acc:0.23046875
load data done ...... epoch:27 cost:11.611700057983398, acc:0.1796875
load data done ...... epoch:28 cost:10.538854598999023, acc:0.2265625
load data done ...... epoch:29 cost:10.675874710083008, acc:0.21875
load data done ...... epoch:30 cost:10.222061157226562, acc:0.1875
load data done ...... epoch:31 cost:10.548388481140137, acc:0.1953125
load data done ...... epoch:32 cost:9.26498031616211, acc:0.26171875
load data done ...... epoch:33 cost:10.561861991882324, acc:0.203125
load data done ...... epoch:34 cost:9.649849891662598, acc:0.28515625
load data done ...... epoch:35 cost:10.647806167602539, acc:0.21875
load data done ...... epoch:36 cost:9.67808723449707, acc:0.2734375
load data done ...... epoch:37 cost:11.239198684692383, acc:0.1875
load data done ...... epoch:38 cost:10.49477481842041, acc:0.2265625
load data done ...... epoch:39 cost:10.012019157409668, acc:0.26171875
load data done ...... epoch:40 cost:10.67431926727295, acc:0.234375
load data done ...... epoch:41 cost:9.199992179870605, acc:0.26171875
load data done ...... epoch:42 cost:9.48611068725586, acc:0.234375
load data done ...... epoch:43 cost:8.712632179260254, acc:0.33203125
load data done ...... epoch:44 cost:8.685782432556152, acc:0.296875
load data done ...... epoch:45 cost:8.602096557617188, acc:0.3671875
load data done ...... epoch:46 cost:8.133684158325195, acc:0.36328125
load data done ...... epoch:47 cost:8.811595916748047, acc:0.33984375
load data done ...... epoch:48 cost:9.015168190002441, acc:0.3125
load data done ...... epoch:49 cost:7.94419527053833, acc:0.44921875
load data done ...... epoch:50 cost:7.836513519287109, acc:0.36328125
load data done ...... epoch:51 cost:7.898001670837402, acc:0.4375
load data done ...... epoch:52 cost:6.748368263244629, acc:0.39453125
load data done ...... epoch:53 cost:7.660861015319824, acc:0.41796875
load data done ...... epoch:54 cost:7.327157974243164, acc:0.4140625
load data done ...... epoch:55 cost:8.416023254394531, acc:0.40625
load data done ...... epoch:56 cost:7.9863057136535645, acc:0.4296875
load data done ...... epoch:57 cost:7.619741439819336, acc:0.46484375
load data done ...... epoch:58 cost:8.13992691040039, acc:0.37890625
load data done ...... epoch:59 cost:6.431524276733398, acc:0.49609375
load data done ...... epoch:60 cost:6.252337455749512, acc:0.49609375
load data done ...... epoch:61 cost:6.5240325927734375, acc:0.46484375
load data done ...... epoch:62 cost:7.024832725524902, acc:0.47265625
load data done ...... epoch:63 cost:6.418622016906738, acc:0.4765625
load data done ...... epoch:64 cost:6.986602783203125, acc:0.47265625
load data done ...... epoch:65 cost:6.094425201416016, acc:0.5234375
load data done ...... epoch:66 cost:6.091970443725586, acc:0.515625
load data done ...... epoch:67 cost:5.668160438537598, acc:0.5625
load data done ...... epoch:68 cost:7.106311798095703, acc:0.4765625
load data done ...... epoch:69 cost:6.7386274337768555, acc:0.515625
load data done ...... epoch:70 cost:5.861113548278809, acc:0.515625
load data done ...... epoch:71 cost:5.670716285705566, acc:0.52734375
load data done ...... epoch:72 cost:5.710195541381836, acc:0.5703125
load data done ...... epoch:73 cost:4.933896064758301, acc:0.5859375
load data done ...... epoch:74 cost:5.16493034362793, acc:0.58203125
load data done ...... epoch:75 cost:6.178343772888184, acc:0.5625
load data done ...... epoch:76 cost:5.261864185333252, acc:0.62109375
load data done ...... epoch:77 cost:5.302290916442871, acc:0.59765625
load data done ...... epoch:78 cost:4.973145484924316, acc:0.62109375
load data done ...... epoch:79 cost:5.504236698150635, acc:0.57421875
load data done ...... epoch:80 cost:5.588767051696777, acc:0.5703125
load data done ...... epoch:81 cost:4.5273823738098145, acc:0.59375
load data done ...... epoch:82 cost:5.699077606201172, acc:0.59375
load data done ...... epoch:83 cost:6.191658020019531, acc:0.5859375
load data done ...... epoch:84 cost:6.827959060668945, acc:0.5390625
load data done ...... epoch:85 cost:5.673428535461426, acc:0.6015625
load data done ...... epoch:86 cost:4.896672248840332, acc:0.6171875
load data done ...... epoch:87 cost:3.9159250259399414, acc:0.66796875
load data done ...... epoch:88 cost:4.544439315795898, acc:0.66796875
load data done ...... epoch:89 cost:4.637074947357178, acc:0.671875
load data done ...... epoch:90 cost:5.401180267333984, acc:0.60546875
load data done ...... epoch:91 cost:4.9512619972229, acc:0.578125
