 0.110101, acc 0.97
2017-06-30T15:02:04.031145: step 33348, loss 0.0706473, acc 0.97
2017-06-30T15:02:05.397462: step 33349, loss 0, acc 1
2017-06-30T15:02:06.750039: step 33350, loss 0.0162296, acc 0.99
2017-06-30T15:02:08.095202: step 33351, loss 0, acc 1
2017-06-30T15:02:09.455004: step 33352, loss 0, acc 1
2017-06-30T15:02:10.808277: step 33353, loss 0, acc 1
2017-06-30T15:02:12.167986: step 33354, loss 0, acc 1
2017-06-30T15:02:13.515364: step 33355, loss 0, acc 1
2017-06-30T15:02:14.877788: step 33356, loss 0.0758895, acc 0.98
2017-06-30T15:02:16.228177: step 33357, loss 0.00878181, acc 0.99
2017-06-30T15:02:17.597851: step 33358, loss 0, acc 1
2017-06-30T15:02:18.948758: step 33359, loss 0, acc 1
2017-06-30T15:02:20.288441: step 33360, loss 0.0377719, acc 0.99
2017-06-30T15:02:21.630330: step 33361, loss 0.0144513, acc 0.99
2017-06-30T15:02:22.971778: step 33362, loss 0, acc 1
2017-06-30T15:02:24.326295: step 33363, loss 0.0020886, acc 0.99
2017-06-30T15:02:25.660816: step 33364, loss 0.0439612, acc 0.99
2017-06-30T15:02:27.003758: step 33365, loss 0.00467897, acc 0.98
2017-06-30T15:02:28.370850: step 33366, loss 0, acc 1
2017-06-30T15:02:29.722817: step 33367, loss 0, acc 1
2017-06-30T15:02:31.097394: step 33368, loss 0.167366, acc 0.97
2017-06-30T15:02:32.450620: step 33369, loss 0, acc 1
2017-06-30T15:02:33.779019: step 33370, loss 0, acc 1
2017-06-30T15:02:35.126219: step 33371, loss 0.00997351, acc 0.99
2017-06-30T15:02:36.477566: step 33372, loss 0.05, acc 0.99
2017-06-30T15:02:37.831144: step 33373, loss 0.00316148, acc 0.99
2017-06-30T15:02:39.199554: step 33374, loss 0, acc 1
2017-06-30T15:02:40.555034: step 33375, loss 0.0891661, acc 0.99
2017-06-30T15:02:41.914127: step 33376, loss 0, acc 1
2017-06-30T15:02:43.270459: step 33377, loss 0, acc 1
2017-06-30T15:02:44.616094: step 33378, loss 0, acc 1
2017-06-30T15:02:45.956663: step 33379, loss 0, acc 1
2017-06-30T15:02:47.310602: step 33380, loss 0.0375653, acc 0.97
2017-06-30T15:02:48.650833: step 33381, loss 0, acc 1
2017-06-30T15:02:50.014939: step 33382, loss 0.0445183, acc 0.99
2017-06-30T15:02:51.366528: step 33383, loss 0.00377937, acc 0.99
2017-06-30T15:02:52.712705: step 33384, loss 0, acc 1
2017-06-30T15:02:54.060980: step 33385, loss 0.233691, acc 0.98
2017-06-30T15:02:55.414229: step 33386, loss 0, acc 1
2017-06-30T15:02:56.766904: step 33387, loss 0.0258268, acc 0.99
2017-06-30T15:02:58.122736: step 33388, loss 0, acc 1
2017-06-30T15:02:59.465719: step 33389, loss 0.0087687, acc 0.99
2017-06-30T15:03:00.808252: step 33390, loss 0.0318643, acc 0.99
2017-06-30T15:03:02.156099: step 33391, loss 0.0164633, acc 0.99
2017-06-30T15:03:03.518430: step 33392, loss 0.0198829, acc 0.99
2017-06-30T15:03:04.880703: step 33393, loss 0, acc 1
2017-06-30T15:03:06.252993: step 33394, loss 0, acc 1
2017-06-30T15:03:07.613366: step 33395, loss 0.0633498, acc 0.99
2017-06-30T15:03:08.956751: step 33396, loss 0.00891821, acc 0.99
2017-06-30T15:03:10.301170: step 33397, loss 0.0704058, acc 0.99
2017-06-30T15:03:11.644873: step 33398, loss 0, acc 1
2017-06-30T15:03:12.977866: step 33399, loss 0, acc 1
2017-06-30T15:03:14.336942: step 33400, loss 0.0116197, acc 0.98
2017-06-30T15:03:15.670788: step 33401, loss 0.0227682, acc 0.99
2017-06-30T15:03:17.023103: step 33402, loss 0.00645884, acc 0.99
2017-06-30T15:03:18.391897: step 33403, loss 0, acc 1
2017-06-30T15:03:19.748962: step 33404, loss 0, acc 1
2017-06-30T15:03:21.106901: step 33405, loss 0.0697116, acc 0.99
2017-06-30T15:03:22.462148: step 33406, loss 0.0624208, acc 0.98
2017-06-30T15:03:23.826742: step 33407, loss 0.0569983, acc 0.99
2017-06-30T15:03:25.175857: step 33408, loss 0.129687, acc 0.97
2017-06-30T15:03:26.533272: step 33409, loss 0.0776606, acc 0.98
2017-06-30T15:03:27.883298: step 33410, loss 0.0670646, acc 0.99
2017-06-30T15:03:29.230520: step 33411, loss 0.127898, acc 0.98
2017-06-30T15:03:30.594022: step 33412, loss 0, acc 1
2017-06-30T15:03:31.938823: step 33413, loss 0.010715, acc 0.99
2017-06-30T15:03:33.285090: step 33414, loss 0.0687317, acc 0.98
2017-06-30T15:03:34.641763: step 33415, loss 0, acc 1
2017-06-30T15:03:35.989136: step 33416, loss 0, acc 1
2017-06-30T15:03:37.354341: step 33417, loss 0, acc 1
2017-06-30T15:03:38.710265: step 33418, loss 0.0727533, acc 0.97
2017-06-30T15:03:40.080955: step 33419, loss 0.023739, acc 0.99
2017-06-30T15:03:41.428530: step 33420, loss 0.0134564, acc 0.99
2017-06-30T15:03:42.785241: step 33421, loss 0.039485, acc 0.98
2017-06-30T15:03:44.139051: step 33422, loss 0.00202291, acc 0.99
2017-06-30T15:03:45.510285: step 33423, loss 0, acc 1
2017-06-30T15:03:46.865653: step 33424, loss 0.0197874, acc 0.99
2017-06-30T15:03:48.212183: step 33425, loss 0.0476985, acc 0.99
2017-06-30T15:03:49.551499: step 33426, loss 0.0949398, acc 0.99
2017-06-30T15:03:50.897545: step 33427, loss 0, acc 1
2017-06-30T15:03:52.262743: step 33428, loss 0.128324, acc 0.98
2017-06-30T15:03:53.627428: step 33429, loss 0.0411119, acc 0.99
2017-06-30T15:03:54.982325: step 33430, loss 0, acc 1
2017-06-30T15:03:56.329811: step 33431, loss 0.0330178, acc 0.98
2017-06-30T15:03:57.679538: step 33432, loss 0, acc 1
2017-06-30T15:03:59.012630: step 33433, loss 0.0026704, acc 0.99
2017-06-30T15:04:00.360975: step 33434, loss 0.0690615, acc 0.97
2017-06-30T15:04:01.716528: step 33435, loss 0, acc 1
2017-06-30T15:04:03.061508: step 33436, loss 0, acc 1
2017-06-30T15:04:04.428209: step 33437, loss 0, acc 1
2017-06-30T15:04:05.782088: step 33438, loss 0, acc 1
2017-06-30T15:04:07.157183: step 33439, loss 0.0212807, acc 0.99
2017-06-30T15:04:08.505397: step 33440, loss 0, acc 1
2017-06-30T15:04:09.840241: step 33441, loss 7.43158e-05, acc 0.99
2017-06-30T15:04:11.203889: step 33442, loss 0.0116238, acc 0.99
2017-06-30T15:04:12.535957: step 33443, loss 0.0195241, acc 0.99
2017-06-30T15:04:13.886134: step 33444, loss 0, acc 1
2017-06-30T15:04:15.229572: step 33445, loss 0, acc 1
2017-06-30T15:04:16.587310: step 33446, loss 0, acc 1
2017-06-30T15:04:17.944781: step 33447, loss 0.00119903, acc 0.99
2017-06-30T15:04:19.287881: step 33448, loss 0, acc 1
2017-06-30T15:04:20.653809: step 33449, loss 0.0894016, acc 0.98
2017-06-30T15:04:21.998406: step 33450, loss 0, acc 1
2017-06-30T15:04:23.366109: step 33451, loss 0.012454, acc 0.99
2017-06-30T15:04:24.726559: step 33452, loss 0, acc 1
2017-06-30T15:04:26.100141: step 33453, loss 0, acc 1
2017-06-30T15:04:27.433876: step 33454, loss 0.0297538, acc 0.98
2017-06-30T15:04:28.785071: step 33455, loss 0.00134503, acc 0.99
2017-06-30T15:04:30.154521: step 33456, loss 0.0602169, acc 0.98
2017-06-30T15:04:31.509738: step 33457, loss 0.115104, acc 0.97
2017-06-30T15:04:32.847389: step 33458, loss 0, acc 1
2017-06-30T15:04:34.210691: step 33459, loss 0, acc 1
2017-06-30T15:04:35.565226: step 33460, loss 0.043206, acc 0.98
2017-06-30T15:04:36.915216: step 33461, loss 0.000677396, acc 0.99
2017-06-30T15:04:38.282839: step 33462, loss 0, acc 1
2017-06-30T15:04:39.635914: step 33463, loss 0.0293775, acc 0.98
2017-06-30T15:04:40.973514: step 33464, loss 0, acc 1
2017-06-30T15:04:42.317924: step 33465, loss 0.0776184, acc 0.98
2017-06-30T15:04:43.662714: step 33466, loss 0, acc 1
2017-06-30T15:04:45.009451: step 33467, loss 0.01788, acc 0.99
2017-06-30T15:04:46.379857: step 33468, loss 0, acc 1
2017-06-30T15:04:47.729243: step 33469, loss 0, acc 1
2017-06-30T15:04:49.095629: step 33470, loss 0.072461, acc 0.99
2017-06-30T15:04:50.451229: step 33471, loss 0.0569328, acc 0.99
2017-06-30T15:04:51.806578: step 33472, loss 0, acc 1
2017-06-30T15:04:53.177150: step 33473, loss 0, acc 1
2017-06-30T15:04:54.544714: step 33474, loss 0.104592, acc 0.97
2017-06-30T15:04:55.892377: step 33475, loss 0, acc 1
2017-06-30T15:04:57.267284: step 33476, loss 0.0552815, acc 0.99
2017-06-30T15:04:58.610897: step 33477, loss 0.0881035, acc 0.99
2017-06-30T15:04:59.944028: step 33478, loss 0.0308314, acc 0.99
2017-06-30T15:05:01.321175: step 33479, loss 0.100777, acc 0.98
2017-06-30T15:05:02.689906: step 33480, loss 0.0360884, acc 0.98
2017-06-30T15:05:04.043770: step 33481, loss 0.000954378, acc 0.99
2017-06-30T15:05:05.400888: step 33482, loss 0, acc 1
2017-06-30T15:05:06.746500: step 33483, loss 0.0167944, acc 0.99
2017-06-30T15:05:08.108738: step 33484, loss 0.0273821, acc 0.99
2017-06-30T15:05:09.448197: step 33485, loss 0, acc 1
2017-06-30T15:05:10.803292: step 33486, loss 0, acc 1
2017-06-30T15:05:12.164515: step 33487, loss 0, acc 1
2017-06-30T15:05:13.519859: step 33488, loss 0.101363, acc 0.98
2017-06-30T15:05:14.873996: step 33489, loss 0, acc 1
2017-06-30T15:05:16.294030: step 33490, loss 0.00829076, acc 0.99
2017-06-30T15:05:17.676484: step 33491, loss 0.0243322, acc 0.99
